"","id","Ideology","A","Gender","Age","M1","M2","M3","M4","M5","M6","Y"
"90",133,0.5,1,1,19,0.944444444444444,0.555555555555556,0.555555555555556,1,0.666666666666667,0.7,0.452222222222222
"91",134,-0.5,0,1,18,0.833333333333333,0.611111111111111,0.166666666666667,0.833333333333333,0.666666666666667,0.725,0.488888888888889
"92",135,-0.5,0,1,19,0.944444444444444,0.5,0.222222222222222,1,0.833333333333333,0.75,0.372222222222222
"93",138,-0.5,1,1,21,0.333333333333333,0.666666666666667,0.333333333333333,0.555555555555556,0.666666666666667,0.34,0.672222222222222
"94",139,-0.5,0,1,18,1,0.333333333333333,0.222222222222222,1,0.666666666666667,0.935,0.0533333333333333
"95",140,-0.5,0,1,21,0.888888888888889,0.333333333333333,0.277777777777778,0.944444444444444,0.833333333333333,0.5,0.427777777777778
"96",142,-0.5,1,1,20,0.555555555555556,0.5,0.333333333333333,1,0.833333333333333,0.475,0.67
"97",143,-0.5,1,1,20,0.944444444444444,0.444444444444444,0.0555555555555556,0.888888888888889,0.666666666666667,0.45,0.748888888888889
"98",146,-2.5,0,1,22,0.833333333333333,0.5,0.388888888888889,0.777777777777778,1,0.35,0.488888888888889
"99",148,-0.5,0,0,24,0.833333333333333,0.444444444444444,0.277777777777778,0.833333333333333,0.666666666666667,0.45,0.394444444444444
"100",149,-1.5,0,1,18,1,0.888888888888889,0.444444444444444,0.722222222222222,1,0.04,1
"101",151,-2.5,0,1,18,0.444444444444444,0.444444444444444,0.111111111111111,0.611111111111111,1,0,1
"102",153,-0.5,1,1,18,0.444444444444444,0.444444444444444,0.388888888888889,0.722222222222222,0.833333333333333,0.555,0.226666666666667
"103",154,0.5,1,1,19,1,0.5,0,0.833333333333333,0.5,0.5,0.5
"104",155,-0.5,1,1,18,0.888888888888889,0.5,0.333333333333333,1,0.5,0.6,0.293333333333333
"105",157,-0.5,1,1,20,0.944444444444444,0.666666666666667,0.5,1,0.166666666666667,0.775,0.222222222222222
"106",158,0.5,0,0,20,0.722222222222222,0.444444444444444,0.444444444444444,0.611111111111111,0.666666666666667,0.5,0.405555555555556
"107",159,-0.5,0,1,23,0.833333333333333,0.388888888888889,0,0.944444444444444,0.833333333333333,0.095,0.877777777777778
"108",160,-0.5,0,1,19,0.555555555555556,0.444444444444444,0.388888888888889,0.611111111111111,0.666666666666667,0.23,0.728888888888889
"109",162,-1.5,0,0,29,0.333333333333333,0.611111111111111,0.388888888888889,0.611111111111111,0.833333333333333,0.44,0.631111111111111
"110",163,-0.5,1,1,22,0.777777777777778,0.444444444444444,0.222222222222222,0.888888888888889,0.333333333333333,0.95,0.133333333333333
"111",165,-0.5,1,1,18,0.277777777777778,0.555555555555556,0,0.611111111111111,1,0.3,0.694444444444444
"112",167,0.5,1,0,22,0.722222222222222,0.611111111111111,0.277777777777778,0.888888888888889,0.666666666666667,0.6,0.355555555555556
"113",168,-1.5,0,1,18,0.722222222222222,0.222222222222222,0.333333333333333,0.722222222222222,0.666666666666667,0.53,0.203333333333333
"114",170,-0.5,0,1,18,0.833333333333333,0.722222222222222,0.777777777777778,0.888888888888889,0.833333333333333,0.295,0.561111111111111
"115",173,0.5,1,1,20,0.555555555555556,0.555555555555556,0.388888888888889,0.666666666666667,0.166666666666667,0.81,0.254444444444444
"116",174,-0.5,1,1,19,0.944444444444444,0.833333333333333,0.166666666666667,1,0.333333333333333,0.65,0.327777777777778
"117",175,-0.5,0,0,20,0.722222222222222,0.333333333333333,0.333333333333333,0.722222222222222,0.333333333333333,0.4,0.422222222222222
"118",176,0.5,1,1,19,0.333333333333333,0,0.222222222222222,0.944444444444444,0.5,0.69,0.182222222222222
"119",179,1.5,1,0,19,1,0.555555555555556,0.333333333333333,1,0.666666666666667,0.57,0.45
"120",180,-0.5,0,1,20,0.388888888888889,0.277777777777778,0.166666666666667,0.666666666666667,0.166666666666667,0.435,0.294444444444444
"121",181,-0.5,0,0,23,0.777777777777778,0.5,0.555555555555556,0.944444444444444,0.666666666666667,0.585,0.447777777777778
"122",183,-0.5,1,1,19,1,0.666666666666667,0.111111111111111,1,0,1,0
"123",184,-0.5,0,1,20,0.722222222222222,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.535,0.455555555555556
"124",185,-1.5,0,1,20,0.944444444444444,0.333333333333333,0.0555555555555556,1,0.666666666666667,0.41,0.625555555555556
"125",188,-0.5,1,1,20,0.888888888888889,0.666666666666667,0.166666666666667,1,0.666666666666667,0.71,0.305555555555556
"126",190,-0.5,1,0,19,0.888888888888889,0.555555555555556,0.388888888888889,1,0.5,0.475,0.441111111111111
"127",191,-1.5,0,1,18,0.944444444444444,0.777777777777778,0.555555555555556,0.888888888888889,0.666666666666667,0.74,0.266666666666667
"128",192,-0.5,0,1,18,0.888888888888889,0.611111111111111,0.555555555555556,0.888888888888889,0.333333333333333,0.495,0.358888888888889
"129",193,0.5,1,0,21,0.611111111111111,0.722222222222222,0.722222222222222,0.611111111111111,0.666666666666667,0.45,0.327777777777778
"130",196,1.5,0,1,19,0.944444444444444,0.611111111111111,0.5,0.833333333333333,0.5,0.7,0.0533333333333333
"131",197,-0.5,0,1,20,0.888888888888889,0.611111111111111,0.444444444444444,0.888888888888889,0.666666666666667,0.38,0.474444444444444
"132",198,-0.5,1,0,19,1,0.666666666666667,0.166666666666667,1,0.666666666666667,0.55,0.433333333333333
"133",201,-0.5,1,0,19,0.944444444444444,0.5,0.444444444444444,1,0.666666666666667,0.6,0.4
"134",202,0.5,1,1,22,0.5,0.611111111111111,0.333333333333333,0.666666666666667,0.333333333333333,0.695,0.251111111111111
"135",203,-0.5,1,1,20,0.222222222222222,0.166666666666667,0.111111111111111,0.833333333333333,0.666666666666667,0.55,0.444444444444444
